"Subj","Block","Trial","RT","Cond","stimuli","direction","AlignedVAR","UnalignedVAR"
"10","10","10","1354","Animal","bull","Left",2147.12947471171,1826.38121598975
"10","10","10","955","Animal","rockbass","Right",26.278233355929,21.2044467062458
"10","10","10","1106","Animal","salmon","Left",54.1197819226893,72.6165958170869
"10","10","10","891","Animal","bassethound","Right",349.816720798502,307.372967888271
"10","10","10","873","Animal","mouse","Left",337.850040081662,290.205256222105
"10","10","10","905","Animal","cow","Right",1767.20715988369,1398.54433594569
"10","10","10","1038","Animal","clownfish","Left",414.78057020211,306.645395852885
"10","10","10","924","Animal","giraffe","Right",176.102893220778,111.613554713712
"10","10","10","906","Animal","seal","Right",1880.8622424595,1505.39609962756
"10","10","10","921","Animal","duck01","Left",163.880507153288,70.9754996132869
"10","10","10","989","Animal","hippopotamus","Left",21.2727628164054,28.6686619456655
"10","10","10","856","Animal","kingfisher","Right",585.886229018732,460.989349579558
"10","10","10","888","Animal","sheep","Left",262.050696345955,226.67298968486
"10","10","10","904","Animal","greyhound","Left",370.776061663741,222.910634299848
"10","10","10","821","Animal","greathornowl","Right",801.974048946282,578.27061504063
"10","10","10","905","Animal","rhinoceros02","Left",2157.94325523845,1395.34905549356
"10","10","10","972","Animal","redfox","Left",962.869539102729,611.042108662127
"10","10","10","805","Animal","zebra","Left",27.01498837691,12.796786984022
"10","10","10","755","Animal","tortoise01","Right",1587.61519842843,1188.50971488751
"10","10","10","856","Animal","sandbarshark","Right",386.58649537066,360.789316569534
"10","10","10","788","Animal","macaque","Left",1094.18775592918,1058.58015149748
"10","10","10","888","Animal","jackrabbit","Left",301.700428382875,364.519230295492
"10","10","10","807","Animal","grizzly","Right",40.9431659005966,61.7802946115422
"10","10","10","905","Animal","saintbernard","Left",1640.58741461144,1162.60174915791
"11","11","11","3888","Animal","tiger02","Left",1419.09911892298,1808.2947792315
"11","11","11","15490","Animal","dromedary","Right",1554.52663027104,817.956365539641
"11","11","11","1388","Animal","cow","Right",1137.04576226576,323.656038165014
"11","11","11","1405","Animal","platypus","Right",105.674994544886,34.4961000108946
"11","11","11","1572","Animal","greywolf","Left",994.509556880466,285.845319451439
"11","11","11","1724","Animal","bluejay","Left",144.023399633329,18.6431108632766
